code,name,market,board,asset_type,org_type,sector,index_membership
300054,鼎龙股份,sz,gem,stock,,电子化学品Ⅱ,csi500
300058,蓝色光标,sz,gem,stock,,广告营销,csi500
300059,东方财富,sz,gem,stock,,证券Ⅱ,hs300
300073,当升科技,sz,gem,stock,,电池,csi500
300100,双林股份,sz,gem,stock,,汽车零部件,csi500
300115,长盈精密,sz,gem,stock,,消费电子,csi500
300122,智飞生物,sz,gem,stock,,生物制品,hs300
300124,汇川技术,sz,gem,stock,,自动化设备,hs300
300136,信维通信,sz,gem,stock,,消费电子,csi500
300140,节能环境,sz,gem,stock,,环境治理,csi500
300142,沃森生物,sz,gem,stock,,生物制品,csi500
300144,宋城演艺,sz,gem,stock,,旅游及景区,csi500
300146,汤臣倍健,sz,gem,stock,,食品加工,csi500
300207,欣旺达,sz,gem,stock,,电池,csi500
300223,君正股份,sz,gem,stock,,半导体,csi500
300251,光线传媒,sz,gem,stock,,影视院线,hs300
300274,阳光电源,sz,gem,stock,,光伏设备,hs300
300285,国瓷材料,sz,gem,stock,,电子化学品Ⅱ,csi500
300308,中际旭创,sz,gem,stock,,通信设备,hs300
300316,晶盛机电,sz,gem,stock,,光伏设备,hs300
300339,润和软件,sz,gem,stock,,IT服务Ⅱ,csi500
300346,南大光电,sz,gem,stock,,电子化学品Ⅱ,csi500
300373,扬杰科技,sz,gem,stock,,半导体,csi500
300383,光环新网,sz,gem,stock,,通信服务,csi500
300390,天华新能,sz,gem,stock,,电池,csi500
300394,天孚通信,sz,gem,stock,,通信设备,hs300
300395,菲利华,sz,gem,stock,,航空装备Ⅱ,csi500
300408,三环集团,sz,gem,stock,,元件,hs300
300413,芒果超媒,sz,gem,stock,,数字媒体,hs300
300418,昆仑万维,sz,gem,stock,,数字媒体,hs300
300432,富临精工,sz,gem,stock,,电池,csi500
300433,蓝思科技,sz,gem,stock,,消费电子,hs300
300442,润泽科技,sz,gem,stock,,通信服务,hs300
300450,先导智能,sz,gem,stock,,电池,hs300
300454,深信服,sz,gem,stock,,软件开发,csi500
300458,全志科技,sz,gem,stock,,半导体,csi500
300474,景嘉微,sz,gem,stock,,军工电子Ⅱ,csi500
300475,香农芯创,sz,gem,stock,,其他电子Ⅱ,csi500
300476,胜宏科技,sz,gem,stock,,元件,hs300
300487,蓝晓科技,sz,gem,stock,,塑料,csi500
300496,中科创达,sz,gem,stock,,IT服务Ⅱ,csi500
300498,温氏股份,sz,gem,stock,,养殖业,hs300
300502,新易盛,sz,gem,stock,,通信设备,hs300
300548,长芯博创,sz,gem,stock,,通信设备,csi500
300558,贝达药业,sz,gem,stock,,化学制药,csi500
300567,精测电子,sz,gem,stock,,通用设备,csi500
300570,太辰光,sz,gem,stock,,通信设备,csi500
300604,长川科技,sz,gem,stock,,半导体,csi500
300620,光库科技,sz,gem,stock,,通信设备,csi500
300623,捷捷微电,sz,gem,stock,,半导体,csi500
300627,华测导航,sz,gem,stock,,通信设备,csi500
300628,亿联网络,sz,gem,stock,,通信设备,hs300
300661,圣邦股份,sz,gem,stock,,半导体,hs300
300666,江丰电子,sz,gem,stock,,半导体,csi500
300676,华大基因,sz,gem,stock,,医疗服务,csi500
300677,英科医疗,sz,gem,stock,,医疗器械,csi500
300679,电连技术,sz,gem,stock,,消费电子,csi500
300699,光威复材,sz,gem,stock,,航空装备Ⅱ,csi500
300718,长盛轴承,sz,gem,stock,,通用设备,csi500
300724,捷佳伟创,sz,gem,stock,,光伏设备,csi500
300735,光弘科技,sz,gem,stock,,消费电子,csi500
300748,金力永磁,sz,gem,stock,,金属新材料,csi500
300750,宁德时代,sz,gem,stock,,电池,hs300
300751,迈为股份,sz,gem,stock,,光伏设备,csi500
300757,罗博特科,sz,gem,stock,,自动化设备,csi500
300759,康龙化成,sz,gem,stock,,医疗服务,csi500
300760,迈瑞医疗,sz,gem,stock,,医疗器械,hs300
300763,锦浪科技,sz,gem,stock,,光伏设备,csi500
300803,指南针,sz,gem,stock,,软件开发,hs300
300832,新产业,sz,gem,stock,,医疗器械,hs300
300857,协创数据,sz,gem,stock,,消费电子,csi500
300866,安克创新,sz,gem,stock,,消费电子,hs300
300888,稳健医疗,sz,gem,stock,,个护用品,csi500
300896,爱美客,sz,gem,stock,,医疗美容,hs300
300919,中伟新材,sz,gem,stock,,电池,csi500
300953,震裕科技,sz,gem,stock,,电池,csi500
300957,贝泰妮,sz,gem,stock,,化妆品,csi500
300972,万辰集团,sz,gem,stock,,休闲食品,csi500
300999,金龙鱼,sz,gem,stock,,农产品加工,hs300
301165,锐捷网络,sz,gem,stock,,通信设备,hs300
301200,大族数控,sz,gem,stock,,专用设备,csi500
301236,软通动力,sz,gem,stock,,IT服务Ⅱ,hs300
301269,华大九天,sz,gem,stock,,软件开发,hs300
301301,川宁生物,sz,gem,stock,,化学制药,csi500
301308,江波龙,sz,gem,stock,,半导体,hs300
301358,湖南裕能,sz,gem,stock,,电池,csi500
301377,鼎泰高科,sz,gem,stock,,通用设备,csi500
301498,乖宝宠物,sz,gem,stock,,饲料,csi500
301526,国际复材,sz,gem,stock,,玻璃玻纤,csi500
301536,星宸科技,sz,gem,stock,,半导体,csi500
301606,绿联科技,sz,gem,stock,,消费电子,csi500
301611,珂玛科技,sz,gem,stock,,半导体,csi500
302132,中航成飞,sz,gem,stock,,航空装备Ⅱ,hs300
600000,浦发银行,sh,main,stock,,银行Ⅱ,hs300
600004,白云机场,sh,main,stock,,航空机场,csi500
600008,首创环保,sh,main,stock,,环境治理,csi500
600009,上海机场,sh,main,stock,,航空机场,hs300
600010,包钢股份,sh,main,stock,,普钢,hs300
600011,华能国际,sh,main,stock,,电力,hs300
600015,华夏银行,sh,main,stock,,银行Ⅱ,hs300
600016,民生银行,sh,main,stock,,银行Ⅱ,hs300
600018,上港集团,sh,main,stock,,航运港口,hs300
600019,宝钢股份,sh,main,stock,,普钢,hs300
600021,上海电力,sh,main,stock,,电力,csi500
600023,浙能电力,sh,main,stock,,电力,hs300
600025,华能水电,sh,main,stock,,电力,hs300
600026,中远海能,sh,main,stock,,航运港口,hs300
600027,华电国际,sh,main,stock,,电力,hs300
600028,中国石化,sh,main,stock,,炼化及贸易,hs300
600029,南方航空,sh,main,stock,,航空机场,hs300
600030,中信证券,sh,main,stock,,证券Ⅱ,hs300
600031,三一重工,sh,main,stock,,工程机械,hs300
600032,浙江新能,sh,main,stock,,电力,csi500
600036,招商银行,sh,main,stock,,银行Ⅱ,hs300
600038,中直股份,sh,main,stock,,航空装备Ⅱ,csi500
600039,四川路桥,sh,main,stock,,基础建设,hs300
600048,保利发展,sh,main,stock,,房地产开发,hs300
600050,中国联通,sh,main,stock,,通信服务,hs300
600060,海信视像,sh,main,stock,,黑色家电,csi500
600061,国投资本,sh,main,stock,,多元金融,hs300
600062,华润双鹤,sh,main,stock,,化学制药,csi500
600066,宇通客车,sh,main,stock,,商用车,hs300
600085,同仁堂,sh,main,stock,,中药Ⅱ,hs300
600089,特变电工,sh,main,stock,,电网设备,hs300
600095,湘财股份,sh,main,stock,,证券Ⅱ,csi500
600098,广州发展,sh,main,stock,,电力,csi500
600100,同方股份,sh,main,stock,,计算机设备,csi500
600104,上汽集团,sh,main,stock,,乘用车,hs300
600105,永鼎股份,sh,main,stock,,通信设备,csi500
600109,国金证券,sh,main,stock,,证券Ⅱ,csi500
600111,北方稀土,sh,main,stock,,小金属,hs300
600115,中国东航,sh,main,stock,,航空机场,hs300
600118,中国卫星,sh,main,stock,,航天装备Ⅱ,hs300
600126,杭钢股份,sh,main,stock,,普钢,csi500
600131,国网信通,sh,main,stock,,IT服务Ⅱ,csi500
600132,重庆啤酒,sh,main,stock,,非白酒,csi500
600141,兴发集团,sh,main,stock,,农化制品,csi500
600143,金发科技,sh,main,stock,,塑料,csi500
600150,中国船舶,sh,main,stock,,航海装备Ⅱ,hs300
600153,建发股份,sh,main,stock,,物流,csi500
600157,永泰能源,sh,main,stock,,电力,csi500
600160,巨化股份,sh,main,stock,,化学制品,hs300
600161,天坛生物,sh,main,stock,,生物制品,csi500
600166,福田汽车,sh,main,stock,,商用车,csi500
600170,上海建工,sh,main,stock,,房屋建设Ⅱ,csi500
600171,上海贝岭,sh,main,stock,,半导体,csi500
600176,中国巨石,sh,main,stock,,玻璃玻纤,hs300
600177,雅戈尔,sh,main,stock,,服装家纺,csi500
600183,生益科技,sh,main,stock,,元件,hs300
600188,兖矿能源,sh,main,stock,,煤炭开采,hs300
600196,复星医药,sh,main,stock,,化学制药,hs300
600208,衢州发展,sh,main,stock,,房地产开发,csi500
600219,南山铝业,sh,main,stock,,工业金属,hs300
600221,海航控股,sh,main,stock,,航空机场,hs300
600233,圆通速递,sh,main,stock,,物流,hs300
600256,广汇能源,sh,main,stock,,煤炭开采,csi500
600276,恒瑞医药,sh,main,stock,,化学制药,hs300
600282,南钢股份,sh,main,stock,,普钢,csi500
600292,电投水电,sh,main,stock,,电力,csi500
600295,鄂尔多斯,sh,main,stock,,冶钢原料,csi500
600298,安琪酵母,sh,main,stock,,调味发酵品Ⅱ,csi500
600299,安迪苏,sh,main,stock,,化学制品,csi500
600309,万华化学,sh,main,stock,,化学制品,hs300
600312,平高电气,sh,main,stock,,电网设备,csi500
600316,洪都航空,sh,main,stock,,航空装备Ⅱ,csi500
600329,达仁堂,sh,main,stock,,中药Ⅱ,csi500
600332,白云山,sh,main,stock,,中药Ⅱ,csi500
600339,中油工程,sh,main,stock,,油服工程,csi500
600346,恒力石化,sh,main,stock,,炼化及贸易,hs300
600348,华阳股份,sh,main,stock,,煤炭开采,csi500
600350,山东高速,sh,main,stock,,铁路公路,csi500
600352,浙江龙盛,sh,main,stock,,化学制品,csi500
600362,江西铜业,sh,main,stock,,工业金属,hs300
600363,联创光电,sh,main,stock,,消费电子,csi500
600369,西南证券,sh,main,stock,,证券Ⅱ,csi500
600372,中航机载,sh,main,stock,,航空装备Ⅱ,hs300
600377,宁沪高速,sh,main,stock,,铁路公路,csi500
600378,昊华科技,sh,main,stock,,化学制品,csi500
600380,健康元,sh,main,stock,,化学制药,csi500
600390,五矿资本,sh,main,stock,,多元金融,csi500
600392,盛和资源,sh,main,stock,,小金属,csi500
600398,海澜之家,sh,main,stock,,服装家纺,csi500
600406,国电南瑞,sh,main,stock,,电网设备,hs300
600415,小商品城,sh,main,stock,,一般零售,hs300
600426,华鲁恒升,sh,main,stock,,农化制品,hs300
600435,北方导航,sh,main,stock,,地面兵装Ⅱ,csi500
600436,片仔癀,sh,main,stock,,中药Ⅱ,hs300
600438,通威股份,sh,main,stock,,光伏设备,hs300
600460,士兰微,sh,main,stock,,半导体,hs300
600482,中国动力,sh,main,stock,,其他电源设备Ⅱ,hs300
600483,福能股份,sh,main,stock,,电力,csi500
600486,扬农化工,sh,main,stock,,农化制品,csi500
600489,中金黄金,sh,main,stock,,贵金属,hs300
600497,驰宏锌锗,sh,main,stock,,工业金属,csi500
600498,烽火通信,sh,main,stock,,通信设备,csi500
600499,科达制造,sh,main,stock,,专用设备,csi500
600511,国药股份,sh,main,stock,,医药商业,csi500
600515,海南机场,sh,main,stock,,航空机场,hs300
600516,方大炭素,sh,main,stock,,冶钢原料,csi500
600517,国网英大,sh,main,stock,,多元金融,csi500
600519,贵州茅台,sh,main,stock,,白酒Ⅱ,hs300
600521,华海药业,sh,main,stock,,化学制药,csi500
600522,中天科技,sh,main,stock,,通信设备,hs300
600535,天士力,sh,main,stock,,中药Ⅱ,csi500
600536,中国软件,sh,main,stock,,IT服务Ⅱ,csi500
600546,山煤国际,sh,main,stock,,煤炭开采,csi500
600547,山东黄金,sh,main,stock,,贵金属,hs300
600549,厦门钨业,sh,main,stock,,小金属,hs300
600562,国睿科技,sh,main,stock,,军工电子Ⅱ,csi500
600563,法拉电子,sh,main,stock,,元件,csi500
600566,济川药业,sh,main,stock,,中药Ⅱ,csi500
600570,恒生电子,sh,main,stock,,软件开发,hs300
600578,京能电力,sh,main,stock,,电力,csi500
600582,天地科技,sh,main,stock,,专用设备,csi500
600583,海油工程,sh,main,stock,,油服工程,csi500
600584,长电科技,sh,main,stock,,半导体,hs300
600585,海螺水泥,sh,main,stock,,水泥,hs300
